id_property,description,label
GEOR030105,Linker propensity from small dataset (linker length is less than six residues),Group 7
GEOR030106,Linker propensity from medium dataset (linker length is between six and 14 residues),Group 7
GEOR030107,Linker propensity from long dataset (linker length is greater than 14 residues),Group 7
GEOR030108,Linker propensity from helical (annotated by DSSP) dataset,Group 7
GEOR030109,Linker propensity from non-helical (annotated by DSSP) dataset,Group 3
ZHOH040101,The stability scale from the knowledge-based atom-atom potential,Group 3
ZHOH040102,The relative stability scale extracted from mutation experiments,Group 3
ZHOH040103,Buriability,Group 2
BAEK050101,Linker index,Group 0
HARY940101,Mean volumes of residues buried in protein interiors,Group 7
PONJ960101,Average volumes of residues,Group 7
DIGM050101,"Hydrostatic pressure asymmetry index, PAI",Group 0
WOLR790101,Hydrophobicity index,Group 0
OLSK800101,Average internal preferences,Group 2
KIDA850101,Hydrophobicity-related index,Group 0
GUYH850102,Apparent partition energies calculated from Wertz-Scheraga index,Group 4
GUYH850103,Apparent partition energies calculated from Robson-Osguthorpe in,Group 1
GUYH850104,Apparent partition energies calculated from Janin ,Group 1
GUYH850105,Apparent partition energies calculated from Chothia,Group 1
ROSM880104,Hydropathies of amino acid side chains neutral form,Group 6
ROSM880105,Hydropathies of amino acid side chains pi-values in pH 7.0,Group 6
JACR890101,Weights from the IFH scale,Group 3
COWR900101,"Hydrophobicity index, 3.0 pH",Group 7
BLAS910101,Scaled side chain hydrophobicity values,Group 3
CASG920101,Hydrophobicity scale from native protein structures,Group 3
CORJ870101,NNEIG index,Group 0
CORJ870102,SWEIG index,Group 0
CORJ870103,PRIFT index,Group 0
CORJ870104,PRILS index,Group 7
CORJ870105,ALTFT index,Group 0
CORJ870106,ALTLS index,Group 7
CORJ870107,TOTFT index,Group 7
CORJ870108,TOTLS index,Group 7
MIYS990101,Relative partition energies derived by the Bethe approximation,Group 2
MIYS990102,Optimized relative partition energies - method A,Group 6
MIYS990103,Optimized relative partition energies - method B,Group 4
MIYS990104,Optimized relative partition energies - method C,Group 6
MIYS990105,Optimized relative partition energies - method D,Group 6
ENGD860101,Hydrophobicity index,Group 0
FASG890101,Hydrophobicity index,Group 0
KARS160101,Number of vertices (order of the graph),Group 3
KARS160102,Number of edges (size of the graph),Group 3
KARS160103,Total weighted degree of the graph (obtained by adding all the weights of all the vertices),Group 5
KARS160104,Weighted domination number,Group 3
KARS160105,Average eccentricity,Group 3
KARS160106,Radius (minimum eccentricity),Group 3
KARS160107,Diameter (maximum eccentricity),Group 3
KARS160108,"Average weighted degree (total degree, divided by the number of vertices)",Group 5
KARS160109,Maximum eigenvalue of the weighted Laplacian matrix of the graph,Group 3
KARS160110,Minimum eigenvalue of the weighted Laplacian matrix of the graph,Group 3
KARS160111,Average eigenvalue of the Laplacian matrix of the the graph,Group 0
KARS160112,Second smallest eigenvalue of the Laplacian matrix of the graph,Group 3
KARS160113,Weighted domination number using the atomic number,Group 3
KARS160114,Average weighted eccentricity based on the the atomic number,Group 7
KARS160115,Weighted radius based on the atomic number (minimum eccentricity),Group 7
KARS160116,Weighted diameter based on the atomic number (maximum eccentricity),Group 7
KARS160117,Total weighted atomic number of the graph (obtained by summing all the atomic number of each of the vertices in the graph),Group 5
KARS160118,Average weighted atomic number or degree based on atomic number in the graph,Group 3
KARS160119,Weighted maximum eigenvalue based on the atomic numbers,Group 3
KARS160120,Weighted minimum eigenvalue based on the atomic numbers,Group 3
KARS160121,Weighted average eigenvalue based on the atomic numbers,Group 7
KARS160122,Weighted second smallest eigenvalue of the weighted Laplacian matrix,Group 3
